"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1.0,9126,Kevin MAYER,10 FEB 1992,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,1302
8,5.0,9018,Damian WARNER,04 NOV 1989,CAN,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1285
16,9.0,8900,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Götzis (AUT),04 JUN 2000,1266
24,13.0,8869,Ashton EATON,21 JAN 1988,USA,1,"Olympic Stadium, London (GBR)",09 AUG 2012,1261
32,17.0,8836,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1256
40,21.0,8820,Bryan CLAY,03 JAN 1980,USA,2,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1254
48,25.0,8812,Dan O'BRIEN,18 JUL 1966,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,1253
56,29.0,8800,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),02 JUN 2002,1251
64,33.0,8791,Bryan CLAY,03 JAN 1980,USA,1,"National Stadium, Beijing (CHN)",22 AUG 2008,1249
72,37.0,8757,Roman ŠEBRLE,26 NOV 1974,CZE,2,Götzis (AUT),04 JUN 2000,1244
80,41.0,8744,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1242
88,45.0,8733,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Talence (FRA),30 JUL 2000,1240
96,48.0,8730,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,2,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1240
104,53.0,8725,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1239
112,57.0,8715,Dan O'BRIEN,18 JUL 1966,USA,1,St. Petersburg (RUS),29 JUL 1994,1237
120,61.0,8706,Frank BUSEMANN,26 FEB 1975,GER,2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1236
128,64.0,8701,Pierce LEPAGE,22 JAN 1996,CAN,2,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1235
136,68.0,8695,Damian WARNER,04 NOV 1989,CAN,2,"National Stadium, Beijing (CHN)",29 AUG 2015,1234
144,73.0,8689,Trey HARDEE,07 FEB 1984,USA,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1233
152,76.0,8676,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1231
160,81.0,8670,Michael SCHRADER,01 JUL 1987,GER,2,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1230
168,85.0,8664,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1229
176,89.0,8660,Bryan CLAY,03 JAN 1980,USA,1,"Sacramento, CA (USA)",17 JUL 2004,1229
184,93.0,8649,Ashley MOLONEY,13 MAR 2000,AUS,3,"National Stadium, Tokyo (JPN)",05 AUG 2021,1227
192,96.0,8644,Maurice SMITH,28 SEP 1980,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1226
0,101.0,8634,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1225
